No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
33,Trey Burke\burketr01,PG,6-1,191,November 12 1992,us,3,University of Michigan
13,Marcin Gortat\gortama01,C,6-11,240,February 17 1984,pl,9,
5,Markieff Morris\morrima02,PF,6-10,245,September 2 1989,us,5,University of Kansas
2,John Wall\walljo01,PG,6-4,195,September 6 1990,us,6,University of Kentucky
22,Otto Porter\porteot01,SF,6-8,198,June 3 1993,us,3,Georgetown University
12,Kelly Oubre Jr.\oubreke01,SF,6-7,205,December 9 1995,us,1,University of Kansas
28,Ian Mahinmi\mahinia01,C,6-11,250,November 5 1986,fr,8,
44,Andrew Nicholson\nichoan01,PF,6-9,250,December 8 1989,ca,4,St. Bonaventure University
14,Jason Smith\smithja02,C,7-0,245,March 2 1986,us,8,Colorado State University
32,Daniel Ochefu\ochefda01,C,6-11,245,December 15 1993,us,R,Villanova University
31,Tomas Satoransky\satorto01,SG,6-7,210,October 30 1991,cz,R,
3,Bradley Beal\bealbr01,SG,6-5,207,June 28 1993,us,4,University of Florida
15,Marcus Thornton\thornma01,SG,6-4,205,June 5 1987,us,7,Louisiana State University
9,Sheldon McClellan\mcclesh01,SG,6-5,200,December 21 1992,us,R,University of Miami
4,Danuel House\houseda01,SG,6-7,207,June 7 1993,us,R,Texas A&M University
